Id,MAT,TDR,TSN,MTWM,MTCM,TAR,MTWQ,MTDQ,MTAQ,MTCQ,MAP,PWM,PDM,PSN,PWQ,PDQ,PAQ,PCQ,AET,PET,NPP,ME,RE,CVE
731,24.7957993,9.3231802,49.8436012,30.3442993,19.5804996,10.7637997,24.5258007,24.4640007,25.3855,24.1583996,1833.839966,220.1179962,93.8244019,27.1466007,601.2440186,334.0190125,485.9570007,414.5969849,1099.560059,1153.27002,1200,453,66,1.61
732,24.4337006,9.2095804,46.456501,29.8316994,19.3031006,10.5285997,24.2271004,23.9629002,24.9734993,23.8486996,1801.199951,219.0910034,87.9462967,28.4689999,592.6240234,315.7619934,492.1759949,390.4190063,1121.709961,1175.689941,1137,483,178,7.79
733,23.5422001,9.4812403,35.9388008,28.8997002,18.2092991,10.6903,23.4500999,23.0923996,23.9549007,23.0923004,1919.229981,253.1549988,72.9401016,33.6739006,666.2189941,263.7950134,532.367981,265.0809937,1144.180054,1182.609985,1219,674,483,18.52
734,22.2539005,9.6983099,33.6464996,27.6266003,16.8703003,10.7563,22.1508007,21.8397999,22.6331005,21.8397999,1789.920044,221.1199951,72.1755981,29.8880997,598.914978,264.1489868,497.6119995,264.1489868,1142.790039,1191.560059,1339,821,556,15.76
735,18.8857002,9.97966,33.0531998,24.3684006,13.3505001,11.0179005,18.7378006,18.5674,19.2609005,18.5398998,1609.680054,190.7640076,51.5825996,32.2584991,521.96698,213.1049957,467.0660095,272.7290039,1023.849976,1082.810059,1502,1106,1643,27.76
736,17.3931007,10.5381002,28.9234009,23.3903008,11.5281,11.8621998,17.2740002,17.3393002,17.6926003,17.0839996,1372.530029,184.3549957,31.2851009,40.7464981,474.7640076,148.7599945,319.2980042,378.0679932,940.0609741,1079.040039,1441,1612,3611,26.57
737,19.5860004,11.2018995,27.5156994,26.1868992,13.0501003,13.1367998,19.5795994,19.5303993,19.8904991,19.3425999,950.75,158.1179962,8.7830601,55.1861992,374.6960144,57.0206985,201.5930023,208.9689941,839.9689941,1222.380005,1078,1667,2985,19.95
738,20.5373001,10.4267998,28.3577003,26.4880009,14.0024996,12.4855003,20.6401005,20.1980991,20.7940006,20.1756001,1153.589966,213.0019989,9.6343002,62.4048996,487.9570007,54.1715012,356.7829895,87.5226974,951.8519897,1240.52002,956,1363,761,10.51
739,21.7614002,7.6014299,39.0388985,26.0702,16.9358997,9.1343098,21.9547997,21.2096996,22.0948009,21.1945992,1757.369995,306.9899902,42.2355003,54.8405991,749.9240112,161.1959991,493.5889893,162.1260071,1176.050049,1301.359985,399,1164,450,3.77
740,22.3209991,10.8753996,53.8667984,28.7838993,15.5761995,13.2076998,22.5345001,21.5951004,22.8448009,21.5524998,1031.130005,184.6529999,23.9277,55.2420006,432.1180115,101.1490021,273.5039978,101.552002,993.9970093,1531.729981,313,1144,412,2.75
